,Date,Symbol,Open,High,Low,Close,Volume,sma7,sma25,sma99,bb_bbm,bb_bbh,bb_bbl,psar,MACD,RSI,sma40,OBV,Position
0,2015-10-08,BTCUSD,242.5,245.0,242.5,243.95,18.8,242.5,242.5,242.5,0.0,0.0,0.0,243.95,0.0,100.0,0.0,0.0,1
1,2015-10-09,BTCUSD,243.95,249.97,243.6,245.39,30.99,243.225,243.225,243.225,0.0,0.0,0.0,245.39,0.11487179487178878,100.0,0.0,30.99,1
2,2015-10-10,BTCUSD,245.39,246.3,244.6,246.3,12.17,243.94666666666663,243.94666666666663,243.94666666666663,0.0,0.0,0.0,243.95,0.27615457666740895,100.0,0.0,43.16,1
3,2015-10-11,BTCUSD,246.3,249.5,246.3,249.5,12.22,244.535,244.535,244.535,0.0,0.0,0.0,244.6,0.654639325063755,100.0,0.0,55.379999999999995,1
4,2015-10-12,BTCUSD,249.5,249.5,247.6,247.6,38.28,245.52799999999996,245.52799999999996,245.52799999999996,0.0,0.0,0.0,244.6,0.7921457310715709,72.09582133104686,0.0,17.099999999999994,1
5,2015-10-13,BTCUSD,247.6,252.87,245.75,250.0,51.71,245.87333333333333,245.87333333333333,245.87333333333333,0.0,0.0,0.0,244.698,1.0823043599258995,79.77353043642472,0.0,68.81,1
6,2015-10-14,BTCUSD,250.0,254.75,250.0,253.0,119.54,246.46285714285713,246.46285714285713,246.46285714285713,0.0,0.0,0.0,244.91008,1.5366189054963684,85.24033553222411,0.0,188.35000000000002,1
7,2015-10-15,BTCUSD,253.0,258.98,253.0,255.26,197.11,247.96285714285713,247.28,247.28,0.0,0.0,0.0,245.3954752,2.0553369237582046,87.89470187873408,0.0,385.46000000000004,1
8,2015-10-16,BTCUSD,255.9,269.98,255.9,263.75,101.13,249.67000000000002,248.23777777777775,248.23777777777775,0.0,0.0,0.0,246.184637184,3.1155822437780216,92.99283149927125,0.0,486.59000000000003,1
9,2015-10-17,BTCUSD,263.75,285.0,263.14,272.47,664.66,252.29285714285717,249.789,249.789,0.0,0.0,0.0,247.9411734656,4.606366101414324,95.21966306959234,0.0,1151.25,1
